   Time(s)         P1         P2         P3         P4         P5        JSD
    0.0747     0.6931     0.6931     0.0000     0.0812     0.0197     0.0433 
    0.0750     0.0000     0.5529     0.0000     0.0754     0.0210     0.0452 
    0.0754     0.0000     0.4423     0.0000     0.0554     0.0199     0.0360 
    0.0757     0.0000     0.6931     0.0000     0.0564     0.0204     0.0390 
    0.0760     0.0000     0.5039     0.0000     0.0685     0.0194     0.0413 
    0.0763     0.0000     0.5644     0.0000     0.0731     0.0160     0.0364 
    0.0767     0.0000     0.5905     0.0000     0.0454     0.0218     0.0375 
    0.0770     0.0000     0.5761     0.0000     0.0571     0.0215     0.0387 
    0.0773     0.0000     0.4741     0.0000     0.0809     0.0166     0.0391 
    0.0776     0.0000     0.5799     0.0000     0.0965     0.0218     0.0489 
    0.0780     0.0000     0.5483     0.0000     0.0805     0.0230     0.0441 
    0.0783     0.0000     0.3193     0.0000     0.0721     0.0249     0.0414 
    0.0786     0.0000     0.5682     0.0000     0.0685     0.0225     0.0416 
    0.0789     0.0000     0.4157     0.0000     0.0608     0.0256     0.0428 
    0.0793     0.6931     0.5477     0.0000     0.0543     0.0221     0.0361 
    0.0796     0.0000     0.3850     0.0000     0.0520     0.0095     0.0244 
    0.0799     0.0000     0.4487     0.0000     0.0913     0.0197     0.0445 
    0.0802     0.0000     0.4356     0.0000     0.0634     0.0236     0.0382 
    0.0806     0.0000     0.6931     0.0000     0.0793     0.0113     0.0347 
    0.0809     0.0000     0.5368     0.0000     0.0405     0.0257     0.0358 
    0.0812     0.0000     0.2245     0.0000     0.0855     0.0204     0.0407 
    0.0815     0.0000     0.4174     0.0000     0.0774     0.0201     0.0391 
    0.0819     0.0000     0.5885     0.0000     0.0882     0.0191     0.0454 
    0.0822     0.0000     0.4034     0.0000     0.0646     0.0162     0.0341 
    0.0825     0.0000     0.4591     0.0000     0.0724     0.0192     0.0389 
    0.0828     0.0000     0.5299     0.0000     0.0626     0.0163     0.0354 
    0.0832     0.0000     0.5589     0.0000     0.0778     0.0134     0.0388 
    0.0835     0.0000     0.5477     0.0000     0.0752     0.0157     0.0381 
    0.0838     0.0000     0.6931     0.0000     0.0567     0.0178     0.0375 
