  Time(ns)                Steps      Q_tot      Q_mod
    35.700              2380000     0.9184     0.8700
    35.775              2385000     0.9116     0.9100
    35.850              2390000     0.9218     0.9100
    35.925              2395000     0.8912     0.9100
    36.000              2400000     0.8878     0.9100
    36.075              2405000     0.9116     0.9100
    36.150              2410000     0.9252     0.9100
    36.225              2415000     0.8980     0.9100
    36.300              2420000     0.9184     0.9100
    36.375              2425000     0.9252     0.9100
    36.450              2430000     0.8980     0.9100
    36.525              2435000     0.9286     0.9100
    36.600              2440000     0.8980     0.9100
    36.675              2445000     0.8571     0.9100
    36.750              2450000     0.9082     0.9100
    36.825              2455000     0.9048     0.9100
    36.900              2460000     0.9082     0.9100
    36.975              2465000     0.9150     0.9100
    37.050              2470000     0.9286     0.9100
    37.125              2475000     0.9150     0.9100
    37.200              2480000     0.9048     0.9100
    37.275              2485000     0.8844     0.9100
    37.350              2490000     0.8980     0.9100
    37.425              2495000     0.8980     0.9100
    37.500              2500000     0.9014     0.9100
    37.575              2505000     0.8946     0.9100
    37.650              2510000     0.9082     0.9100
    37.725              2515000     0.8571     0.9100
    37.800              2520000     0.9014     0.9100
    37.875              2525000     0.8878     0.9100
    37.950              2530000     0.9082     0.9100
    38.025              2535000     0.8980     0.9100
    38.100              2540000     0.8980     0.9100
    38.175              2545000     0.8912     0.9100
    38.250              2550000     0.9218     0.9100
    38.325              2555000     0.9048     0.9100
    38.400              2560000     0.9116     0.9100
    38.475              2565000     0.8844     0.9100
    38.550              2570000     0.8673     0.9100
    38.625              2575000     0.8912     0.9100
    38.700              2580000     0.8980     0.9100
    38.775              2585000     0.8946     0.9100
    38.850              2590000     0.9626     0.9100
    38.925              2595000     0.9184     0.9100
    39.000              2600000     0.9388     0.9100
    39.075              2605000     0.9728     0.9100
    39.150              2610000     0.9218     0.9100
    39.225              2615000     0.9388     0.9100
    39.300              2620000     0.9558     0.9100
    39.375              2625000     0.9422     0.9100
    39.450              2630000     0.9252     0.9100
    39.525              2635000     0.9388     0.9100
    39.600              2640000     0.9354     0.9100
    39.675              2645000     0.9660     0.9100
    39.750              2650000     0.9286     0.9100
    39.825              2655000     0.9320     0.9100
    39.900              2660000     0.9286     0.9100
    39.975              2665000     0.9490     0.9100
    40.050              2670000     0.9286     0.9100
    40.125              2675000     0.9286     0.9100
    40.200              2680000     0.9456     0.9100
    40.275              2685000     0.9218     0.9300
    40.350              2690000     0.9694     0.9300
    40.425              2695000     0.9354     0.9300
    40.500              2700000     0.9558     0.9300
    40.575              2705000     0.9592     0.9300
    40.650              2710000     0.9592     0.9300
    40.725              2715000     0.9592     0.9300
    40.800              2720000     0.9456     0.9300
    40.875              2725000     0.9592     0.9300
    40.950              2730000     0.9286     0.9300
    41.025              2735000     0.9184     0.9300
    41.100              2740000     0.9592     0.9300
    41.175              2745000     0.9660     0.9300
    41.250              2750000     0.9388     0.9300
    41.325              2755000     0.9660     0.9300
    41.400              2760000     0.9388     0.9300
    41.475              2765000     0.9660     0.9300
    41.550              2770000     0.9456     0.9300
    41.625              2775000     0.9660     0.9300
    41.700              2780000     0.9592     0.9300
    41.775              2785000     0.9592     0.9300
    41.850              2790000     0.9592     0.9300
    41.925              2795000     0.9524     0.9300
    42.000              2800000     0.9218     0.9300
    42.075              2805000     0.9626     0.9300
    42.150              2810000     0.9626     0.9300
    42.225              2815000     0.9524     0.9300
    42.300              2820000     0.9354     0.9300
    42.375              2825000     0.9660     0.9300
    42.450              2830000     0.9728     0.9300
    42.525              2835000     0.9694     0.9300
    42.600              2840000     0.9320     0.9300
    42.675              2845000     0.9354     0.9300
    42.750              2850000     0.9592     0.9300
    42.825              2855000     0.9694     0.9300
    42.900              2860000     0.9524     0.9300
    42.975              2865000     0.9694     0.9300
    43.050              2870000     0.9626     0.9300
    43.125              2875000     0.9626     0.9300
    43.200              2880000     0.9694     0.9300
    43.275              2885000     0.9388     0.9300
    43.350              2890000     0.9694     0.9300
    43.425              2895000     0.9626     0.9300
    43.500              2900000     0.9592     0.9300
