       D_1        D_2        D_3        1|2        2|3      total
    0.5000     0.5714     1.0000     0.0000     1.0000     0.7143
    0.5000     0.5714     1.0000     0.0000     1.0000     0.7143
    0.0000     0.5714     0.9211     0.0000     1.0000     0.6786
    1.0000     0.6143     0.9737     0.0000     1.0000     0.7411
    0.5000     0.6714     0.9474     0.0000     1.0000     0.7589
    0.0000     0.7571     0.9474     1.0000     1.0000     0.8125
    0.0000     0.5857     0.9474     1.0000     1.0000     0.7054
    0.5000     0.7286     1.0000     1.0000     1.0000     0.8214
    0.5000     0.5286     1.0000     0.0000     1.0000     0.6875
    0.5000     0.7000     0.9737     0.0000     1.0000     0.7857
    0.5000     0.6286     1.0000     0.0000     1.0000     0.7500
    1.0000     0.6571     0.9474     0.0000     1.0000     0.7589
    0.5000     0.5857     1.0000     0.0000     1.0000     0.7232
    0.5000     0.5143     1.0000     0.0000     1.0000     0.6786
    1.0000     0.4286     0.9474     0.0000     1.0000     0.6161
    0.5000     0.2857     0.9211     0.0000     1.0000     0.5089
    0.5000     0.3857     0.9737     1.0000     1.0000     0.5982
    0.5000     0.3714     1.0000     1.0000     1.0000     0.5982
    0.0000     0.3286     0.9737     0.0000     1.0000     0.5446
    1.0000     0.4000     0.9737     0.0000     1.0000     0.6071
    0.5000     0.2714     0.8684     0.0000     1.0000     0.4821
    0.5000     0.2571     0.8684     0.0000     1.0000     0.4732
    0.5000     0.1571     0.7895     0.0000     1.0000     0.3839
    0.5000     0.3714     0.9211     0.0000     1.0000     0.5625
    0.5000     0.3714     0.9211     0.0000     1.0000     0.5625
    0.5000     0.4143     0.8947     0.0000     1.0000     0.5804
    0.0000     0.3286     0.7368     0.0000     1.0000     0.4643
    0.0000     0.2000     0.8947     0.0000     1.0000     0.4375
    0.5000     0.2000     0.9474     0.0000     1.0000     0.4643
    1.0000     0.1857     0.9737     0.0000     1.0000     0.4732
    0.5000     0.0857     0.9211     0.0000     1.0000     0.3839
    1.0000     0.0857     0.9474     0.0000     1.0000     0.4018
    0.5000     0.0714     0.9737     0.0000     1.0000     0.3929
    0.5000     0.0857     0.9737     0.0000     1.0000     0.4018
    0.5000     0.2000     1.0000     0.0000     1.0000     0.4821
    0.5000     0.0857     0.9737     0.0000     1.0000     0.4018
    0.5000     0.0857     0.9737     0.0000     1.0000     0.4018
    0.5000     0.0857     0.9737     0.0000     1.0000     0.4018
    0.5000     0.0857     1.0000     0.0000     1.0000     0.4107
    1.0000     0.1286     0.9474     0.0000     1.0000     0.4286
    0.5000     0.1857     0.9737     0.0000     1.0000     0.4643
    1.0000     0.1571     0.8947     0.0000     1.0000     0.4286
    1.0000     0.1429     0.8684     0.0000     1.0000     0.4107
    1.0000     0.1286     0.9737     0.0000     1.0000     0.4375
    0.5000     0.1857     0.8947     0.0000     1.0000     0.4375
    1.0000     0.1143     0.8684     0.0000     1.0000     0.3929
    0.5000     0.0857     0.8684     0.0000     1.0000     0.3661
    0.5000     0.1000     0.8158     0.0000     1.0000     0.3571
    0.5000     0.0429     0.8947     0.0000     1.0000     0.3482
    0.0000     0.0286     0.9211     0.0000     1.0000     0.3393
    0.0000     0.0714     0.9211     0.0000     1.0000     0.3661
    0.0000     0.1143     0.9211     0.0000     1.0000     0.3929
    0.5000     0.1571     0.8947     1.0000     1.0000     0.4286
    0.0000     0.1286     0.9737     1.0000     1.0000     0.4286
    0.0000     0.1857     0.8947     0.0000     1.0000     0.4286
    0.5000     0.1000     0.9474     1.0000     1.0000     0.4107
    0.0000     0.1000     0.9211     0.0000     1.0000     0.3839
    0.0000     0.1714     0.9474     0.0000     1.0000     0.4375
    0.0000     0.2143     0.9474     0.0000     1.0000     0.4643
    0.5000     0.2143     0.8684     0.0000     1.0000     0.4464
    0.5000     0.1857     0.7105     0.0000     1.0000     0.3750
    0.5000     0.1571     0.8947     0.0000     1.0000     0.4196
    0.5000     0.1429     0.9474     0.0000     1.0000     0.4286
    0.5000     0.1571     0.9211     0.0000     1.0000     0.4286
    0.5000     0.1286     0.8947     0.0000     1.0000     0.4018
